"","datetime","discharge_daily"
"778",2016-02-17,44456.4166666667
"779",2016-02-18,53809.5833333333
"780",2016-02-19,48257.1666666667
"781",2016-02-20,38092.375
"782",2016-02-21,32699.2916666667
"783",2016-02-22,33241
"784",2016-02-23,36555.3333333333
"785",2016-02-24,39668.9166666667
"786",2016-02-25,53602.7083333333
"787",2016-02-26,61213.6666666667
"788",2016-02-27,54426.5416666667
"789",2016-02-28,42743.9583333333
"790",2016-02-29,33778.2916666667
"791",2016-03-01,28308.4583333333
"792",2016-03-02,24716.5
"793",2016-03-03,22216.6666666667
"794",2016-03-04,20399.625
"795",2016-03-05,18984.75
"796",2016-03-06,17641.5833333333
"797",2016-03-07,16235.1666666667
"798",2016-03-08,14972.625
"799",2016-03-09,13905.2916666667
"800",2016-03-10,12928.4166666667
"801",2016-03-11,12012
"802",2016-03-12,11166.9583333333
"803",2016-03-13,10435.125
"804",2016-03-14,11342.4166666667
"805",2016-03-15,11952.875
"806",2016-03-16,12566.9166666667
"807",2016-03-17,13562.9583333333
"808",2016-03-18,13656.25
"809",2016-03-19,12920.2083333333
"810",2016-03-20,12277.0416666667
"811",2016-03-21,11472.625
"812",2016-03-22,10699.6666666667
"813",2016-03-23,10075.2916666667
"814",2016-03-24,9567.22083333333
"815",2016-03-25,9075.4625
"816",2016-03-26,8567.99583333333
"817",2016-03-27,8048.11666666667
"818",2016-03-28,8098.625
"819",2016-03-29,8146.26666666667
"820",2016-03-30,8002.625
"821",2016-03-31,7628.80833333333
"822",2016-04-01,7244.025
